Hari_ke;Tanggal;Jumlah_Kasus_Kumulatif;Jumlah_Pasien_Sembuh;Jumlah_Pasien_Meninggal;Jumlah_Pasien_Dalam_Perawatan;Jumlah_Kasus_Baru_per_Hari;Jumlah_Kasus_Sembuh_per_Hari;Jumlah_Kasus_Meninggal_per_Hari;Jumlah_Kasus_Dirawat_per_Hari;Persentase_Pasien_Sembuh;Persentase_Pasien_Meninggal;Persentase_Pasien_dalam_Perawat;Jumlah_Spesimen_Diperiksa;Jumlah_Kasus_Diperiksa;Jumlah_Negatif;Spesimen_Diperiksa_Baru_Harian;Kasus_Diperiksa_Baru_Harian;PDP;ODP;Penambahan_Kasus_Terkonfirmasi_;Kasus_Sedang_Investigasi_Lapang;Jumlah_Spesimen_Diperiksa_Terki;Jumlah_Kasus_Diperiksa_Terkini;Spesimen_Diperiksa_Baru_Harian_;Hasil_Positif_Terkini;Hasil_Negatif_Terkini;PDP_Terkini;ODP_Terkini;Suspek_Terkini;Jumlah_Provinsi_Terdampak;Jumlah_KabKot_Terdampak;Pembaruan_Terakhir;FID
47;2020/04/17 00:00:00+00;5923;607;520;4796;407;59;24;324;1.024.818.504;8.779.334.797;8.097.248.016;42108;37134;31211;2402;2159;12610;173732;;;;;;;;;;;;;1970/01/01 00:00:00+00;47
48;2020/04/18 00:00:00+00;6248;631;535;5082;325;24;15;286;1.009.923.175;8.562.740.077;8.133.802.817;45378;39422;33174;327;2288;12979;176344;;;;;;;;;;;;;1970/01/01 00:00:00+00;48
49;2020/04/19 00:00:00+00;6575;686;582;5307;327;55;47;225;1.043.346.008;8.851.711.027;807.148.289;47478;42219;35644;21;2797;15646;178883;;;;;;;;;;;;;1970/01/01 00:00:00+00;49
50;2020/04/20 00:00:00+00;6760;747;590;5423;185;61;8;116;1.105.029.586;8.727.810.651;8.022.189.349;49767;43749;36989;2289;153;16343;181770;;;;;;;;;;;;;1970/01/01 00:00:00+00;50
51;2020/04/21 00:00:00+00;7135;842;616;5677;375;95;26;254;1.180.098.108;8.633.496.847;7.956.552.207;50370;46173;39038;603;2424;16763;186330;;;;;;;;;;;;;1970/01/01 00:00:00+00;51
52;2020/04/22 00:00:00+00;7418;913;635;5870;283;71;19;193;123.078.997;856.025.883;7.913.184.147;55732;47361;39943;5362;1188;17754;193571;;;;;;;;;;;;;1970/01/01 00:00:00+00;52
53;2020/04/23 00:00:00+00;7775;960;647;6168;357;47;12;298;1.234.726.688;8.321.543.408;7.933.118.971;59935;48647;40872;4203;1286;18283;195948;;;;;;;;;;;;;1970/01/01 00:00:00+00;53
54;2020/04/24 00:00:00+00;8211;1002;689;6520;436;42;42;352;1.220.314.213;839.118.256;7.940.567.531;64054;50563;42352;4119;1916;18301;197951;;;;;;;;;;;;;1970/01/01 00:00:00+00;54
55;2020/04/25 00:00:00+00;8607;1042;720;6845;396;40;31;325;12.106.425;8.365.284.071;7.952.829.093;67828;52541;43934;3774;1978;19084;206911;;;;;;;;;;;;;1970/01/01 00:00:00+00;55
56;2020/04/26 00:00:00+00;8882;1107;743;7032;275;65;23;187;1.246.340.914;8.365.233.056;791.713.578;72099;56974;48092;4271;4433;19648;209040;;;;;;;;;;;;;1970/01/01 00:00:00+00;56
57;2020/04/27 00:00:00+00;9096;1151;765;7180;214;44;22;148;1.265.391.381;8.410.290.237;7.893.579.595;75157;59409;50313;3058;2435;19987;210199;;;;;;;;;;;;;1970/01/01 00:00:00+00;57
58;2020/04/28 00:00:00+00;9511;1254;773;7484;415;103;8;304;1.318.473.347;8.127.431.395;7.868.783.514;79618;62544;53033;4461;3135;20428;213644;;;;;;;;;;;;;1970/01/01 00:00:00+00;58
59;2020/04/29 00:00:00+00;9771;1391;784;7596;260;137;11;112;142.360.045;8.023.743.731;7.774.025.177;86985;67784;58013;7367;524;21653;221750;;;;;;;;;;;;;1970/01/01 00:00:00+00;59
60;2020/04/30 00:00:00+00;10118;1522;792;7804;347;131;8;208;1.504.249.852;782.763.392;7.712.986.756;94599;72531;60233;7614;4567;21827;230411;;;;;;;;;;;;;1970/01/01 00:00:00+00;60
61;2020/05/01 00:00:00+00;10551;1591;800;8160;433;69;8;356;1.507.913.942;7.582.219.695;7.733.864.089;102305;76538;65987;7706;4187;22123;233120;;;;;;;;;;;;;1970/01/01 00:00:00+00;61
62;2020/05/02 00:00:00+00;10843;1665;831;8347;292;74;31;187;1.535.552.891;7.663.930.647;7.698.054.044;107943;79868;69025;5638;333;22545;235035;;;;;;;;;;;;;1970/01/01 00:00:00+00;62
63;2020/05/03 00:00:00+00;11192;1876;845;8471;349;211;14;124;1.676.197.284;755.003.574;7.568.799.142;112965;83012;71820;5022;3144;23130;236369;;;;;;;;;;;;;1970/01/01 00:00:00+00;63
64;2020/05/04 00:00:00+00;11587;1954;864;8769;395;78;19;298;1.686.372.659;7.456.632.433;7.567.964.098;116861;86061;74474;3896;3049;24020;238178;;;;;;;;;;;;;1970/01/01 00:00:00+00;64
65;2020/05/05 00:00:00+00;12071;2197;872;9002;484;243;8;233;1.820.064.618;722.392.511;7.457.542.871;121547;88924;76853;4686;2863;26408;239226;;;;;;;;;;;;;1970/01/01 00:00:00+00;65
66;2020/05/06 00:00:00+00;12438;2317;895;9226;367;120;23;224;1.862.839.685;7.195.690.626;7.417.591.253;128383;92976;80538;6836;4052;26932;240726;;;;;;;;;;;;;1970/01/01 00:00:00+00;66
67;2020/05/07 00:00:00+00;12776;2381;930;9465;338;64;35;239;1.863.650.595;7.279.273.638;7.408.422.041;134151;96717;83941;5768;3741;28508;243455;;;;;;;;;;;;;1970/01/01 00:00:00+00;67
68;2020/05/08 00:00:00+00;13112;2494;943;9675;336;113;13;210;1.902.074.436;7.191.885.296;7.378.737.035;143781;103361;90249;9301;6644;29087;244480;;;;;;;;;;;;;1970/01/01 00:00:00+00;68
69;2020/05/09 00:00:00+00;13645;2607;959;10079;533;113;16;404;191.058.996;7.028.215.464;7.386.588.494;150887;108699;95054;7435;5338;29690;246847;;;;;;;;;;;;;1970/01/01 00:00:00+00;69
70;2020/05/10 00:00:00+00;14032;2698;973;10361;387;91;14;282;1.922.748.005;6.934.150.513;7.383.836.944;158273;113452;99420;7386;4753;30317;248690;;;;;;;;;;;;;1970/01/01 00:00:00+00;70
71;2020/05/11 00:00:00+00;14265;2881;991;10393;233;183;18;32;2.019.628.461;6.947.073.256;7.285.664.213;161351;116358;102093;3078;2906;31994;249105;;;;;;;;;;;;;1970/01/01 00:00:00+00;71
72;2020/05/12 00:00:00+00;14749;3063;1007;10679;484;182;16;286;2.076.750.966;6.827.581.531;7.240.490.881;165128;119728;104979;3777;337;32147;251861;;;;;;;;;;;;;1970/01/01 00:00:00+00;72
73;2020/05/13 00:00:00+00;15438;3287;1028;11123;689;224;21;444;2.129.161.809;6.658.893.639;7.204.948.828;169195;123572;108134;4067;3844;33042;256299;;;;;;;;;;;;;1970/01/01 00:00:00+00;73
74;2020/05/14 00:00:00+00;16006;3518;1043;11445;568;231;15;322;2.197.925.778;6.516.306.385;7.150.443.584;173690;127813;111807;4495;4241;33672;258639;;;;;;;;;;;;;1970/01/01 00:00:00+00;74
75;2020/05/15 00:00:00+00;16496;3803;1076;11617;490;285;33;172;2.305.407.371;6.522.793.404;7.042.313.288;178602;132060;115564;4912;4247;34360;262919;;;;;;;;;;;;;1970/01/01 00:00:00+00;75
76;2020/05/16 00:00:00+00;17025;3911;1089;12025;529;108;13;408;2.297.209.985;6.396.475.771;7.063.142.438;182818;135726;118701;4216;3665;35069;269449;;;;;;;;;;;;;1970/01/01 00:00:00+00;76
77;2020/05/17 00:00:00+00;17514;4129;1148;12237;489;218;59;212;2.357.542.537;6.554.756.195;6.986.981.843;187965;140473;122959;5147;4748;35800;270876;;;;;;;;;;;;;1970/01/01 00:00:00+00;77
78;2020/05/18 00:00:00+00;18010;4324;1191;12495;496;195;43;258;2.400.888.395;6.612.992.782;6.937.812.326;190660;143035;125025;2695;2562;11422;45047;;;;;;;;;;;;;1970/01/01 00:00:00+00;78
79;2020/05/19 00:00:00+00;18496;4467;1221;12808;486;143;30;313;2.415.116.782;6.601.427.336;6.924.740.484;202936;147799;129303;12276;4764;11891;45300;;;;;;;;;;;;;1970/01/01 00:00:00+00;79
80;2020/05/20 00:00:00+00;19189;4575;1242;13372;693;108;21;564;2.384.178.436;6.472.458.179;6.968.575.747;211883;154139;134950;8947;634;11705;44703;;;;;;;;;;;;;1970/01/01 00:00:00+00;81
81;2020/05/21 00:00:00+00;20162;4838;1278;14046;973;263;36;674;2.399.563.535;6.338.656.879;6.966.570.777;219975;160374;140212;8092;6235;11066;50187;;;;;;;;;;;;;1970/01/01 00:00:00+00;82
82;2020/05/22 00:00:00+00;20796;5057;1326;14413;634;219;48;367;2.431.717.638;6.376.226.197;6.930.659.742;229334;21743;148173;9359;8595;11028;47150;;;;;;;;;;;;;1970/01/01 00:00:00+00;83
83;2020/05/23 00:00:00+00;21745;5249;1351;15145;949;192;25;732;241.388.825;6.212.922.511;6.964.819.499;239740;176035;154290;10406;7066;11495;49958;;;;;;;;;;;;;1970/01/01 00:00:00+00;84
84;2020/05/24 00:00:00+00;22271;5402;1372;15497;526;153;21;352;2.425.575.861;6.160.477.751;6.958.376.364;248555;179964;157593;8815;3829;11389;42551;;;;;;;;;;;;;1970/01/01 00:00:00+00;85
85;2020/05/25 00:00:00+00;22750;5642;1391;15717;479;240;19;220;24.08.00;6.114.285.714;6.908.571.429;256946;183192;160442;8391;3328;12342;49361;;;;;;;;;;;;;1970/01/01 00:00:00+00;86
86;2020/05/26 00:00:00+00;23165;5877;1418;15870;415;235;27;153;2.537.017.052;6.121.303.691;6.850.852.579;264098;188302;165137;7152;511;12022;65748;;;;;;;;;;;;;1970/01/01 00:00:00+00;87
87;2020/05/27 00:00:00+00;23851;6057;1473;16321;686;180;55;451;2.539.516.163;6.175.841.684;6.842.899.669;278411;195518;171667;14313;7216;12667;49942;;;;;;;;;;;;;1970/01/01 00:00:00+00;88
88;2020/05/28 00:00:00+00;24538;6240;1496;16802;687;183;23;481;2.542.994.539;6.096.666.395;6.847.338.821;289906;201311;176773;11495;5793;13250;48749;;;;;;;;;;;;;1970/01/01 00:00:00+00;89
89;2020/05/29 00:00:00+00;25216;6492;1520;17204;678;252;24;402;2.574.555.838;6.027.918.782;6.822.652.284;300545;205165;179949;10639;3854;12499;49212;;;;;;;;;;;;;1970/01/01 00:00:00+00;90
90;2020/05/30 00:00:00+00;25773;7015;1573;17185;557;523;53;19;2.721.840.686;6.103.286.385;6.667.830.676;311906;216769;190996;11361;11604;12832;47714;;;;;;;;;;;;;1970/01/01 00:00:00+00;91
91;2020/05/31 00:00:00+00;26473;7308;1613;17552;700;293;40;367;2.760.548.483;6.093.000.416;6.630.151.475;323376;223624;197151;1147;6855;12913;49936;;;;;;;;;;;;;1970/01/01 00:00:00+00;92
92;2020/06/01 00:00:00+00;26940;7637;1641;17662;467;329;28;110;2.834.818.114;6.091.314.031;6.556.050.483;333415;232113;205173;10039;8489;13120;48358;;;;;;;;;;;;;1970/01/01 00:00:00+00;93
93;2020/06/02 00:00:00+00;27549;7935;1663;17951;609;298;22;289;2.880.322.335;6.036.516.752;651.602.599;342464;237947;210398;9049;5834;13213;48023;;;;;;;;;;;;;1970/01/01 00:00:00+00;94
94;2020/06/03 00:00:00+00;28233;8406;1698;18129;684;471;35;178;2.977.366.911;6.014.238.657;6.421.209.223;354434;246433;218200;1197;8486;13285;48153;;;;;;;;;;;;;1970/01/01 00:00:00+00;95
95;2020/06/04 00:00:00+00;28818;8892;1721;18205;585;486;23;76;3.085.571.518;5.971.961.968;6.317.232.285;367640;251736;222918;13206;5303;13416;47373;;;;;;;;;;;;;1970/01/01 00:00:00+00;96
96;2020/06/05 00:00:00+00;29521;9443;1770;18308;703;551;49;103;319.873.988;5.995.731.852;6.201.686.935;380973;256810;227289;13333;5074;13592;49320;;;;;;;;;;;;;1970/01/01 00:00:00+00;97
97;2020/06/06 00:00:00+00;30514;9907;1801;18806;993;464;31;498;324.670.643;5.902.208.822;6.163.072.688;394068;264740;234226;13095;793;13347;46571;;;;;;;;;;;;;1970/01/01 00:00:00+00;98
98;2020/06/07 00:00:00+00;31186;10498;1851;18837;672;591;50;31;3.366.254.088;5.935.355.608;6.040.210.351;405992;269146;237960;11924;4406;14197;40370;;;;;;;;;;;;;1970/01/01 00:00:00+00;99
99;2020/06/08 00:00:00+00;32033;10904;1883;19246;847;406;32;409;3.403.989.636;587.831.299;6.008.179.065;412980;274430;242397;6988;5284;14010;38791;;;;;;;;;;;;;1970/01/01 00:00:00+00;100
100;2020/06/09 00:00:00+00;33076;11414;1923;19739;1043;510;40;493;3.450.840.489;5.813.883.178;5.967.771.194;429161;281653;248577;16181;7223;14108;38394;;;;;;;;;;;;;1970/01/01 00:00:00+00;101
101;2020/06/10 00:00:00+00;34316;12129;1959;20228;1240;715;36;489;3.534.502.856;5.708.707.309;5.894.626.413;446918;287478;253162;17757;5826;14242;43945;;;;;;;;;;;;;1970/01/01 00:00:00+00;102
102;2020/06/11 00:00:00+00;35295;12636;2000;20659;979;507;41;431;3.580.110.497;5.666.525.004;5.853.237.002;463620;294671;259376;16702;7193;14052;43414;;;;;;;;;;;;;1970/01/01 00:00:00+00;103
103;2020/06/12 00:00:00+00;36406;13213;2048;21145;1111;577;48;486;3.629.346.811;5.625.446.355;5.808.108.554;478953;302147;265741;15333;7476;13923;37538;;;;;;;;;;;;;1970/01/01 00:00:00+00;104
104;2020/06/13 00:00:00+00;37420;13776;2091;21553;1014;563;43;408;3.681.453.768;5.587.920.898;5.759.754.142;495527;313275;275855;16574;11128;13578;42450;;;;;;;;;;;;;1970/01/01 00:00:00+00;105
105;2020/06/14 00:00:00+00;38277;14531;2134;21612;857;755;43;59;3.796.274.525;5.575.149.568;5.646.210.518;514287;322933;284656;18760;9658;13574;41639;;;;;;;;;;;;;1970/01/01 00:00:00+00;106
106;2020/06/15 00:00:00+00;39294;15123;2198;21973;1017;592;64;361;3.848.679.188;5.593.729.323;559.194.788;523063;329190;289896;8776;6257;13649;36744;;;;;;;;;;;;;1970/01/01 00:00:00+00;107
107;2020/06/16 00:00:00+00;40400;15703;2231;22466;1106;580;33;493;3.886.881.188;5.522.277.228;5.560.891.089;540115;339309;298909;17052;10119;13510;29124;;;;;;;;;;;;;1970/01/01 00:00:00+00;314
108;2020/06/17 00:00:00+00;41431;16243;2276;22912;1031;540;45;446;3.920.494.316;5.493.471.072;5.530.158.577;559872;348278;306847;19757;8969;13279;42714;;;;;;;;;;;;;1970/01/01 00:00:00+00;315
109;2020/06/18 00:00:00+00;42762;16798;2339;23625;1331;555;63;713;3.928.254.057;5.469.809.644;5.524.764.978;580522;358659;315897;20650;10381;17923;36698;;;;;;;;;;;;;1970/01/01 00:00:00+00;316
110;2020/06/19 00:00:00+00;43803;17349;2373;24081;1041;551;34;456;3.960.687.624;5.417.437.162;549.756.866;601239;366581;322778;20717;7922;13211;36464;;;;;;;;;;;;;1970/01/01 00:00:00+00;317
111;2020/06/20 00:00:00+00;45029;17883;2429;24717;1226;534;56;636;3.971.440.627;539.430.145;5.489.129.228;621156;376518;331489;19917;7877;13150;37336;;;;;;;;;;;;;1970/01/01 00:00:00+00;318
112;2020/06/21 00:00:00+00;45891;18404;2465;25022;862;521;36;305;4.010.372.404;5.371.423.591;5.452.485.237;639385;383105;337214;18229;8647;13225;56436;;;;;;;;;;;;;1970/01/01 00:00:00+00;319
113;2020/06/22 00:00:00+00;46845;18735;2500;25610;954;331;35;588;399.935.959;5.336.748.853;5.466.965.525;650311;393117;346272;10926;10012;12999;43500;;;;;;;;;;;;;1970/01/01 00:00:00+00;320
114;2020/06/23 00:00:00+00;47896;19241;2535;26120;1051;506;35;510;4.017.245.699;5.292.717.555;5.453.482.546;668219;401681;353785;17908;8564;13348;35983;;;;;;;;;;;;;1970/01/01 00:00:00+00;321
115;2020/06/24 00:00:00+00;49009;19658;2573;26778;1113;417;38;658;4.011.100.002;5.250.056.112;5.463.894.387;689452;413919;364910;21233;12238;13069;36648;;;;;;;;;;;;;1970/01/01 00:00:00+00;322
116;2020/06/25 00:00:00+00;50187;20449;2620;27118;1178;791;47;340;4.074.561.141;5.220.475.422;5.403.391.316;708962;427158;376971;19510;13239;13323;37294;;;;;;;;;;;;;1970/01/01 00:00:00+00;323
117;2020/06/26 00:00:00+00;51427;21333;2683;27411;1240;884;63;293;4.148.210.084;5.217.103.856;533.007.953;731781;439907;388480;22819;12749;13506;38381;;;;;;;;;;;;;1970/01/01 00:00:00+00;324
118;2020/06/27 00:00:00+00;52812;21909;2720;28183;1385;576;37;772;414.848.898;5.150.344.619;5.336.476.558;753370;449569;396757;21589;9662;13522;40541;;;;;;;;;;;;;1970/01/01 00:00:00+00;325
119;2020/06/28 00:00:00+00;54010;22936;2754;28320;1198;1027;34;137;4.246.620.996;509.905.573;5.243.473.431;770600;456636;402626;17230;7067;14712;47658;;;;;;;;;;;;;1970/01/01 00:00:00+00;326
120;2020/06/29 00:00:00+00;55092;23800;2805;28487;1082;864;51;167;4.320.046.468;5.091.483.337;5.170.805.199;782383;465683;410591;11783;9047;13335;41605;;;;;;;;;;;;;1970/01/01 00:00:00+00;327
121;2020/06/30 00:00:00+00;56385;24806;2876;28703;1293;1006;71;216;4.399.397.003;5.100.647.335;5.090.538.264;803896;477318;420933;21515;11636;13182;43797;;;;;;;;;;;;;1970/01/01 00:00:00+00;328
122;2020/07/01 00:00:00+00;57770;25595;2934;29241;1385;789;58;538;443.050.026;5.078.760.602;506.162.368;825636;492318;434548;21738;15000;13296;45192;;;;;;;;;;;;;1970/01/01 00:00:00+00;329
123;2020/07/02 00:00:00+00;59394;26667;2987;29740;1624;1072;53;499;4.489.847.459;5.029.127.521;5.007.239.789;849155;503132;443738;23519;10814;13359;40778;;;;;;;;;;;;;1970/01/01 00:00:00+00;330
